Student_ID,Gender,Age,Major,Attendance_Pct,Study_Hours_Per_Day,Previous_CGPA,Sleep_Hours,Social_Hours_Week,Final_CGPA,Attendance_Category,Performance_Band,Pass_Fail,Risk_Level,Risk_Score
ID00035,Female,20,Computer Science,80.9,2.2,3.59,4.2,10,3.85,Good,Excellent,1,Low Risk,23.382499999999997
ID00036,Female,24,Business,66.6,8.6,2.8,6.0,7,2.91,Low,Good,1,Medium Risk,25.53
ID00037,Male,23,Engineering,93.5,4.2,2.51,7.1,7,2.71,Excellent,Good,1,Low Risk,19.1625
ID00038,Male,24,Computer Science,75.3,3.1,3.03,6.0,4,2.86,Good,Good,1,Low Risk,27.202500000000004
ID00039,Female,23,Engineering,52.7,1.4,2.42,7.7,7,2.06,Critical,Average,1,High Risk,49.51
ID00040,Male,19,Computer Science,79.4,6.6,2.96,4.8,4,3.07,Good,Very Good,1,Low Risk,18.369999999999997
ID00041,Male,21,Business,99.7,4.8,2.96,4.1,10,3.05,Excellent,Very Good,1,Low Risk,10.034999999999998
ID00042,Male,23,Economics,79.2,11.9,1.87,8.0,9,2.38,Good,Average,1,High Risk,27.9975
ID00043,Male,21,Mathematics,100.0,2.7,3.37,6.5,7,3.76,Excellent,Excellent,1,Low Risk,14.712499999999999
ID00044,Female,24,Business,91.4,8.2,3.01,7.5,10,3.42,Excellent,Very Good,1,Low Risk,12.532499999999999
ID00045,Male,23,Psychology,90.1,3.9,3.69,6.2,4,3.97,Excellent,Excellent,1,Low Risk,11.567500000000004
ID00046,Female,19,Economics,83.1,2.4,3.21,7.8,8,3.62,Good,Excellent,1,Low Risk,24.917500000000004
ID00047,Male,18,Psychology,84.0,3.3,3.47,9.0,8,3.76,Good,Excellent,1,Low Risk,18.6375
ID00048,Male,19,Computer Science,81.0,4.5,3.7,9.1,5,3.9,Good,Excellent,1,Low Risk,13.174999999999999
ID00049,Male,19,Psychology,80.5,3.1,3.03,6.0,7,3.43,Good,Very Good,1,Low Risk,24.862500000000004
ID00050,Male,18,Economics,93.0,2.0,3.1,6.4,9,3.5,Excellent,Excellent,1,Low Risk,23.025
ID00051,Female,18,Economics,71.0,2.4,2.31,7.3,6,2.2,Low,Average,1,Medium Risk,38.2375
ID00052,Female,20,Business,68.9,5.7,3.72,9.8,12,3.83,Low,Excellent,1,Medium Risk,16.444999999999997
ID00053,Female,23,Engineering,68.2,2.2,3.03,5.3,10,2.73,Low,Good,1,Medium Risk,33.9975
ID00054,Female,24,Business,100.0,2.9,2.6,5.3,11,2.62,Excellent,Good,1,Low Risk,20.650000000000002
ID00055,Female,20,Computer Science,93.0,2.2,3.47,8.3,7,3.66,Excellent,Excellent,1,Low Risk,18.987499999999997
ID00056,Female,18,Psychology,89.6,4.9,2.01,6.0,7,2.4,Excellent,Average,1,Medium Risk,22.492500000000003
ID00057,Male,21,Engineering,69.1,14.0,2.89,8.0,7,3.56,Low,Excellent,1,Medium Risk,23.6175
ID00058,Male,24,Mathematics,94.4,5.6,3.55,6.1,9,4.0,Excellent,Excellent,1,Low Risk,6.457499999999998
ID00059,Male,21,Economics,83.3,2.6,2.88,7.5,5,3.07,Good,Very Good,1,Low Risk,26.915000000000003
ID00060,Male,19,Engineering,88.2,4.9,2.74,6.2,8,3.14,Excellent,Very Good,1,Low Risk,16.734999999999992
ID00061,Male,22,Engineering,70.4,2.7,2.89,5.5,9,2.88,Low,Good,1,Medium Risk,32.2325
ID00062,Male,19,Business,87.4,4.7,2.1,7.2,2,2.39,Excellent,Average,1,Medium Risk,23.494999999999997
ID00063,Female,19,Mathematics,78.6,9.1,3.46,5.2,8,3.61,Good,Excellent,1,Low Risk,14.355000000000002
ID00064,Male,22,Economics,73.5,4.1,3.04,7.7,4,2.92,Low,Good,1,Medium Risk,23.925
ID00065,Male,23,Computer Science,96.0,5.1,2.96,6.6,16,2.92,Excellent,Good,1,Low Risk,10.9
ID00066,Male,18,Computer Science,61.9,4.2,2.97,5.0,6,2.97,Low,Good,1,Medium Risk,29.357499999999998
ID00067,Male,21,Engineering,93.5,7.0,3.11,7.4,13,3.61,Excellent,Excellent,1,Low Risk,10.7125
ID00068,Female,19,Engineering,95.3,6.1,3.43,7.4,7,3.75,Excellent,Excellent,1,Low Risk,7.102499999999999
ID00069,Male,22,Psychology,71.8,3.4,3.07,4.0,6,2.79,Low,Good,1,Medium Risk,27.2275
ID00070,Female,20,Mathematics,72.7,6.1,2.42,6.9,6,2.44,Low,Average,1,Medium Risk,26.11
ID00071,Female,19,Economics,81.7,4.7,3.39,7.0,2,3.87,Good,Excellent,1,Low Risk,14.772499999999997
ID00072,Male,21,Engineering,89.2,3.2,3.35,7.1,9,3.5,Excellent,Excellent,1,Low Risk,17.747499999999995
ID00073,Male,18,Psychology,82.7,3.3,3.2,4.3,5,3.38,Good,Very Good,1,Low Risk,21.584999999999997
ID00074,Female,19,Mathematics,91.5,4.6,3.64,7.5,4,3.92,Excellent,Excellent,1,Low Risk,8.575
ID00075,Female,19,Economics,100.0,5.1,3.12,7.8,6,3.54,Excellent,Excellent,1,Low Risk,7.699999999999998
ID00076,Female,23,Computer Science,77.4,3.8,3.66,5.6,9,3.6,Good,Excellent,1,Low Risk,17.944999999999997
ID00077,Female,22,Psychology,59.3,5.1,3.8,4.9,4,3.7,Critical,Excellent,1,High Risk,20.065
ID00078,Male,20,Mathematics,97.4,2.6,3.39,5.5,5,3.68,Excellent,Excellent,1,Low Risk,16.107499999999998
ID00079,Male,20,Psychology,100.0,2.1,2.73,7.2,7,3.16,Excellent,Very Good,1,Low Risk,22.7125
ID00080,Male,24,Engineering,90.9,1.5,3.03,5.1,6,3.19,Excellent,Very Good,1,Medium Risk,26.5825
ID00081,Female,18,Business,68.7,5.6,3.72,5.0,6,3.85,Low,Excellent,1,Medium Risk,16.534999999999997
ID00082,Female,24,Computer Science,83.1,1.5,2.35,10.0,17,2.33,Good,Average,1,Medium Risk,36.042500000000004
ID00083,Male,21,Engineering,68.2,5.1,2.9,7.0,6,2.82,Low,Good,1,Medium Risk,23.935
ID00084,Male,18,Engineering,94.6,3.1,2.93,6.5,13,3.4,Excellent,Very Good,1,Low Risk,19.392500000000002
ID00085,Male,19,Mathematics,64.7,3.5,2.67,6.0,6,2.58,Low,Good,1,Medium Risk,33.5225
ID00086,Male,19,Psychology,80.5,3.5,3.54,6.4,8,3.95,Good,Excellent,1,Low Risk,18.8
ID00087,Female,20,Computer Science,69.9,13.7,3.29,9.7,10,3.83,Low,Excellent,1,Medium Risk,19.757499999999997
ID00088,Female,21,Engineering,86.9,2.9,2.74,8.2,6,2.78,Excellent,Good,1,Low Risk,25.319999999999997
ID00089,Female,22,Mathematics,79.5,2.3,3.4,10.0,12,3.45,Good,Very Good,1,Low Risk,25.275
ID00090,Male,21,Computer Science,87.7,10.7,3.02,7.6,9,3.88,Excellent,Excellent,1,Low Risk,14.11
ID00091,Male,19,Psychology,85.3,1.7,2.65,5.6,8,2.85,Excellent,Good,1,Medium Risk,31.627499999999998
ID00092,Female,22,Engineering,70.2,1.9,2.74,7.4,1,2.55,Low,Good,1,Medium Risk,36.834999999999994
ID00093,Female,21,Economics,94.4,6.7,3.32,7.8,6,3.83,Excellent,Excellent,1,Low Risk,8.469999999999999
ID00094,Female,21,Engineering,84.3,5.2,3.57,7.9,2,3.92,Good,Excellent,1,Low Risk,10.827500000000002
ID00095,Female,22,Engineering,70.2,3.3,2.86,6.3,12,3.05,Low,Very Good,1,Medium Risk,30.185
ID00096,Male,19,Computer Science,100.0,2.2,3.37,9.7,10,3.49,Excellent,Very Good,1,Low Risk,16.7125
ID00097,Male,21,Computer Science,92.1,1.0,3.89,5.1,8,4.0,Excellent,Excellent,1,Medium Risk,20.517500000000002
ID00098,Male,22,Computer Science,82.7,9.4,2.47,7.5,10,3.14,Good,Very Good,1,Medium Risk,21.172499999999996
ID00099,Male,23,Computer Science,100.0,6.1,3.28,6.6,5,3.64,Excellent,Excellent,1,Low Risk,6.300000000000001
ID00100,Male,23,Mathematics,100.0,8.9,3.52,5.8,9,4.0,Excellent,Excellent,1,Low Risk,4.199999999999999
ID00101,Male,19,Business,82.8,7.4,3.05,7.4,10,3.53,Good,Excellent,1,Low Risk,16.052500000000002
ID00102,Female,22,Mathematics,90.2,5.4,3.72,8.9,8,3.99,Excellent,Excellent,1,Low Risk,6.859999999999998
ID00103,Male,23,Engineering,70.2,2.9,4.0,7.6,16,3.84,Low,Excellent,1,Medium Risk,21.810000000000002
ID00104,Male,22,Mathematics,82.8,2.2,3.27,7.4,6,3.39,Good,Very Good,1,Low Risk,25.3275
ID00105,Female,21,Psychology,82.0,7.8,2.98,4.0,9,3.38,Good,Very Good,1,Low Risk,17.025
ID00106,Male,19,Economics,87.8,3.1,3.59,8.4,8,3.6,Excellent,Excellent,1,Low Risk,16.677500000000002
ID00107,Male,23,Computer Science,90.0,2.2,3.52,6.4,11,3.68,Excellent,Excellent,1,Low Risk,19.9
ID00108,Female,24,Psychology,93.4,2.7,1.84,7.8,7,2.17,Excellent,Average,1,High Risk,31.07
ID00109,Male,21,Economics,88.6,8.1,3.1,8.4,11,3.39,Excellent,Very Good,1,Low Risk,13.005
ID00110,Male,24,Psychology,66.8,2.4,2.9,7.3,15,2.78,Low,Good,1,Medium Risk,34.965
ID00111,Male,24,Engineering,70.9,3.3,3.3,4.0,11,3.37,Low,Very Good,1,Medium Risk,26.02
ID00112,Male,18,Computer Science,76.8,3.9,3.0,9.1,5,3.02,Good,Very Good,1,Low Risk,23.590000000000003
ID00113,Female,18,Psychology,80.8,4.7,3.06,9.7,8,3.17,Good,Very Good,1,Low Risk,18.065
ID00114,Female,19,Engineering,100.0,2.3,2.67,8.2,9,3.03,Excellent,Very Good,1,Low Risk,22.4375
ID00115,Female,23,Computer Science,67.6,3.8,3.47,5.9,6,3.59,Low,Excellent,1,Medium Risk,24.017500000000002
ID00116,Female,23,Business,79.6,6.8,3.93,8.8,8,3.88,Good,Excellent,1,Low Risk,9.792500000000002
ID00117,Female,23,Engineering,99.3,11.9,2.68,6.6,12,3.59,Excellent,Excellent,1,Low Risk,11.864999999999998
ID00118,Male,22,Mathematics,80.5,2.0,2.4,6.9,5,2.67,Good,Good,1,Medium Risk,34.775
ID00119,Female,21,Computer Science,91.9,2.2,3.11,8.8,5,3.44,Excellent,Very Good,1,Low Risk,22.632499999999997
ID00120,Male,23,Psychology,82.9,2.4,3.09,8.0,6,3.55,Good,Excellent,1,Low Risk,26.057499999999997
ID00121,Female,21,Economics,88.9,5.9,3.69,4.0,9,4.0,Excellent,Excellent,1,Low Risk,7.707499999999998
ID00122,Female,19,Psychology,81.6,2.1,2.49,7.3,8,2.66,Good,Good,1,Medium Risk,33.0925
ID00123,Male,24,Mathematics,95.0,3.7,2.83,8.8,8,3.23,Excellent,Very Good,1,Low Risk,17.6875
ID00124,Male,23,Mathematics,61.8,3.5,2.03,5.0,6,1.98,Low,Poor,0,Medium Risk,40.4275
ID00125,Male,19,Psychology,79.6,12.5,3.79,8.5,11,4.0,Good,Excellent,1,Low Risk,11.017500000000002
ID00126,Male,23,Economics,89.4,2.9,3.23,4.5,4,3.41,Excellent,Very Good,1,Low Risk,19.9075
ID00127,Female,18,Computer Science,93.0,2.8,2.87,6.7,8,3.12,Excellent,Very Good,1,Low Risk,21.8375
ID00128,Female,20,Engineering,100.0,5.9,2.44,7.8,6,3.06,Excellent,Very Good,1,Medium Risk,13.649999999999999
ID00129,Male,19,Mathematics,79.1,4.9,2.48,6.6,6,2.7,Good,Good,1,Medium Risk,23.105
ID00130,Male,23,Mathematics,100.0,2.7,3.31,8.8,11,3.31,Excellent,Very Good,1,Low Risk,15.2375
ID00131,Male,20,Mathematics,75.1,8.4,2.55,4.9,3,2.52,Good,Good,1,Low Risk,23.892500000000005
ID00132,Male,19,Economics,100.0,1.6,3.15,8.2,10,3.11,Excellent,Very Good,1,Medium Risk,21.0375
ID00133,Male,22,Business,97.3,4.0,4.0,7.1,9,4.0,Excellent,Excellent,1,Low Risk,5.215000000000002
ID00134,Male,23,Economics,71.3,3.4,2.93,5.7,4,2.98,Low,Good,1,Medium Risk,28.677500000000002
ID00135,Female,22,Computer Science,89.6,3.8,2.62,7.7,13,2.97,Excellent,Good,1,Low Risk,21.555000000000003
ID00136,Male,18,Computer Science,84.2,2.7,3.29,6.9,7,3.59,Good,Excellent,1,Low Risk,22.5225
ID00137,Male,23,Computer Science,94.4,3.8,2.49,9.2,11,2.63,Excellent,Good,1,Medium Risk,20.532499999999995
ID00138,Female,24,Computer Science,81.7,4.6,3.96,7.9,6,4.0,Good,Excellent,1,Low Risk,10.185
ID00139,Male,18,Computer Science,80.4,0.7,3.8,7.6,9,3.89,Good,Excellent,1,Medium Risk,27.77
ID00140,Female,20,Psychology,100.0,3.1,3.02,6.0,5,3.23,Excellent,Very Good,1,Low Risk,16.175
ID00141,Female,19,Mathematics,83.5,2.5,2.65,7.2,6,2.88,Good,Good,1,Low Risk,29.2375
ID00142,Male,21,Economics,97.4,10.3,2.89,6.1,7,3.37,Excellent,Very Good,1,Low Risk,10.882499999999997
ID00143,Male,18,Psychology,81.6,5.3,2.95,6.9,5,3.55,Good,Excellent,1,Low Risk,17.4675
ID00144,Male,21,Economics,100.0,2.4,3.29,8.9,11,3.63,Excellent,Excellent,1,Low Risk,16.6125
ID00145,Male,21,Business,74.8,3.0,3.62,6.6,6,3.74,Low,Excellent,1,Medium Risk,22.665
ID00146,Male,19,Engineering,75.8,3.4,2.58,4.8,9,2.53,Good,Good,1,Low Risk,29.715000000000003
ID00147,Female,20,Mathematics,100.0,2.9,3.61,7.7,10,4.0,Excellent,Excellent,1,Low Risk,11.812500000000004
ID00148,Male,19,Business,78.3,5.5,3.41,8.2,9,3.62,Good,Excellent,1,Low Risk,14.927500000000002
ID00149,Male,23,Psychology,100.0,9.3,2.85,9.4,11,3.28,Excellent,Very Good,1,Low Risk,10.062499999999998
ID00150,Male,18,Engineering,98.4,0.4,2.56,8.3,10,2.58,Excellent,Good,1,Medium Risk,31.72
ID00151,Female,21,Business,82.7,3.3,3.16,6.6,8,3.57,Good,Excellent,1,Low Risk,21.935
ID00152,Male,19,Economics,57.8,11.9,2.57,7.4,15,2.77,Critical,Good,1,High Risk,31.502500000000005
ID00153,Male,19,Engineering,84.7,3.4,3.61,7.6,3,4.0,Good,Excellent,1,Low Risk,16.697499999999998
ID00154,Male,19,Economics,86.5,4.7,2.54,7.7,8,2.86,Excellent,Good,1,Low Risk,20.049999999999997
ID00155,Female,18,Business,100.0,0.8,3.37,4.0,7,3.38,Excellent,Very Good,1,Medium Risk,22.312500000000004
ID00156,Male,20,Psychology,100.0,8.3,3.06,6.1,6,3.66,Excellent,Excellent,1,Low Risk,8.225
ID00157,Female,24,Economics,74.7,2.0,2.82,7.7,4,2.63,Low,Good,1,Medium Risk,33.71
ID00158,Female,19,Engineering,97.0,5.2,3.05,8.6,8,3.18,Excellent,Very Good,1,Low Risk,9.6625
ID00159,Male,18,Business,96.5,2.2,3.64,6.0,9,3.8,Excellent,Excellent,1,Low Risk,15.924999999999997
ID00160,Female,21,Economics,100.0,0.5,2.5,6.4,3,2.54,Excellent,Good,1,Medium Risk,31.125
ID00161,Male,23,Psychology,92.5,4.9,2.89,6.6,7,3.09,Excellent,Very Good,1,Low Risk,13.487499999999997
ID00162,Female,24,Mathematics,55.9,6.2,2.72,6.8,7,2.69,Critical,Good,1,High Risk,31.045
ID00163,Female,22,Psychology,82.7,3.9,3.08,8.3,9,3.34,Good,Very Good,1,Low Risk,20.235
ID00164,Male,24,Psychology,67.7,1.8,2.76,5.9,10,2.67,Low,Good,1,Medium Risk,38.185
ID00165,Male,24,Mathematics,82.0,13.2,2.22,8.3,8,2.8,Good,Good,1,Medium Risk,23.674999999999997
ID00166,Female,18,Psychology,99.7,6.0,2.57,9.1,9,2.82,Excellent,Good,1,Low Risk,12.647499999999999
ID00167,Male,22,Mathematics,89.6,4.5,3.92,6.4,5,4.0,Excellent,Excellent,1,Low Risk,7.380000000000003
ID00168,Male,19,Mathematics,100.0,7.6,3.22,6.4,4,3.95,Excellent,Excellent,1,Low Risk,6.824999999999998
ID00169,Male,19,Economics,90.1,2.9,3.21,7.2,11,3.35,Excellent,Very Good,1,Low Risk,19.767500000000005
ID00170,Female,24,Economics,65.5,10.9,2.96,6.1,6,3.19,Low,Very Good,1,Medium Risk,24.625
ID00171,Female,18,Mathematics,47.2,6.1,3.07,6.9,7,2.97,Critical,Good,1,High Risk,31.8975
ID00172,Male,22,Business,87.2,7.2,2.89,4.8,5,3.23,Excellent,Very Good,1,Low Risk,15.472499999999997
ID00173,Male,19,Engineering,81.8,3.3,3.36,8.3,6,3.73,Good,Excellent,1,Low Risk,20.590000000000003
ID00174,Male,21,Business,70.3,2.0,3.15,9.5,10,3.13,Low,Very Good,1,Medium Risk,32.8025
ID00175,Female,20,Mathematics,59.5,4.5,2.51,6.0,2,2.43,Critical,Average,1,High Risk,33.2625
ID00176,Male,20,Engineering,74.0,3.0,3.23,4.5,7,3.22,Low,Very Good,1,Medium Risk,26.4375
ID00177,Female,19,Economics,82.1,11.6,1.87,8.4,14,2.35,Good,Average,1,High Risk,26.692500000000003
ID00178,Male,22,Engineering,95.0,1.6,3.31,6.4,3,3.37,Excellent,Very Good,1,Medium Risk,21.887500000000003
ID00179,Female,23,Mathematics,87.8,8.7,2.4,6.0,11,2.81,Excellent,Good,1,Medium Risk,19.490000000000002
ID00180,Male,19,Economics,100.0,1.2,3.05,6.8,5,3.38,Excellent,Very Good,1,Medium Risk,23.512500000000003
ID00181,Male,23,Engineering,69.5,2.2,2.5,5.2,8,2.42,Low,Average,1,Medium Risk,38.05
ID00182,Male,23,Engineering,98.2,1.2,3.1,7.7,5,3.5,Excellent,Excellent,1,Medium Risk,23.884999999999998
ID00183,Female,22,Business,85.7,2.9,3.39,5.1,10,3.64,Excellent,Excellent,1,Low Risk,20.1725
ID00184,Female,23,Engineering,95.4,3.6,3.85,5.2,10,3.98,Excellent,Excellent,1,Low Risk,8.982499999999996
ID00185,Male,21,Mathematics,78.5,2.7,2.33,5.2,12,2.05,Good,Average,1,Medium Risk,33.487500000000004
ID00186,Female,22,Computer Science,100.0,5.2,3.59,7.2,6,3.95,Excellent,Excellent,1,Low Risk,3.587500000000001
ID00187,Female,19,Computer Science,89.4,3.6,3.17,4.3,7,3.28,Excellent,Very Good,1,Low Risk,17.632499999999997
ID00188,Female,24,Computer Science,74.8,0.9,2.87,10.0,11,2.72,Low,Good,1,Medium Risk,37.6275
ID00189,Male,21,Mathematics,84.8,2.1,3.48,6.4,4,3.57,Good,Excellent,1,Low Risk,22.990000000000002
ID00190,Male,18,Computer Science,81.4,3.3,2.98,4.0,9,3.3,Good,Very Good,1,Low Risk,24.094999999999995
ID00191,Male,20,Business,92.3,7.4,3.46,5.4,12,3.96,Excellent,Excellent,1,Low Risk,8.190000000000001
ID00192,Female,19,Mathematics,67.3,4.3,2.6,7.9,11,2.76,Low,Good,1,Medium Risk,29.765000000000004
ID00193,Female,19,Economics,84.6,3.0,2.78,9.0,10,3.17,Good,Very Good,1,Low Risk,25.605000000000004
ID00194,Female,19,Mathematics,90.9,1.5,3.57,7.2,5,3.86,Excellent,Excellent,1,Medium Risk,21.857499999999998
ID00195,Male,21,Mathematics,85.5,4.5,3.84,7.1,5,4.0,Excellent,Excellent,1,Low Risk,9.925
ID00196,Male,18,Engineering,100.0,8.4,3.08,4.7,9,3.38,Excellent,Very Good,1,Low Risk,8.049999999999999
ID00197,Female,24,Engineering,96.6,3.4,1.71,9.2,11,2.11,Excellent,Average,1,High Risk,27.9675
ID00198,Female,22,Engineering,84.9,2.3,3.0,7.8,10,3.15,Good,Very Good,1,Low Risk,26.345
ID00199,Female,18,Psychology,88.3,5.6,3.12,7.5,10,3.55,Excellent,Excellent,1,Low Risk,12.965
ID00200,Female,21,Business,89.4,7.6,2.98,7.0,11,3.69,Excellent,Excellent,1,Low Risk,13.694999999999997
ID00201,Female,19,Mathematics,91.0,3.6,3.27,7.8,6,3.47,Excellent,Very Good,1,Low Risk,16.0375
ID00202,Male,20,Mathematics,57.6,6.0,2.86,5.8,7,2.42,Critical,Average,1,High Risk,29.055
ID00203,Male,19,Engineering,80.5,3.1,3.52,8.4,9,3.64,Good,Excellent,1,Low Risk,20.575
ID00204,Female,22,Mathematics,62.7,6.2,2.52,8.2,3,2.44,Low,Average,1,Medium Risk,29.735
ID00205,Female,23,Economics,100.0,8.6,3.72,6.9,10,4.0,Excellent,Excellent,1,Low Risk,2.449999999999998
ID00206,Male,20,Mathematics,84.1,6.7,3.88,6.6,3,4.0,Good,Excellent,1,Low Risk,8.205000000000004
ID00207,Male,19,Computer Science,82.1,5.5,2.64,4.0,8,2.79,Good,Good,1,Low Risk,19.955000000000002
ID00208,Female,24,Economics,98.5,10.2,2.64,4.4,5,3.36,Excellent,Very Good,1,Low Risk,12.575
ID00209,Male,20,Economics,91.3,3.5,3.31,7.8,13,3.45,Excellent,Very Good,1,Low Risk,15.9525
ID00210,Male,23,Mathematics,68.1,5.5,2.51,8.4,15,2.44,Low,Average,1,Medium Risk,27.392500000000005
ID00211,Male,18,Psychology,83.9,3.5,2.85,8.6,7,2.97,Good,Good,1,Low Risk,23.307499999999997
ID00212,Female,21,Engineering,80.0,5.5,3.65,5.0,5,3.78,Good,Excellent,1,Low Risk,12.0625
ID00213,Female,19,Business,58.8,6.1,3.47,10.0,10,3.09,Critical,Very Good,1,High Risk,23.177500000000002
ID00214,Male,22,Business,74.6,7.0,4.0,8.5,7,4.0,Low,Excellent,1,Medium Risk,11.430000000000003
ID00215,Female,18,Computer Science,82.2,4.2,3.19,6.1,6,3.37,Good,Very Good,1,Low Risk,18.2975
ID00216,Male,19,Business,83.3,1.1,2.79,7.2,6,2.8,Good,Good,1,Medium Risk,33.7025
ID00217,Male,18,Business,62.8,3.6,3.13,4.5,6,3.11,Low,Very Good,1,Medium Risk,29.9525
ID00218,Female,22,Engineering,100.0,5.9,3.02,6.1,11,3.3,Excellent,Very Good,1,Low Risk,8.575
ID00219,Female,19,Engineering,83.5,4.9,3.03,7.8,9,3.37,Good,Very Good,1,Low Risk,16.3125
ID00220,Female,23,Psychology,85.6,5.3,3.09,7.1,14,3.31,Excellent,Very Good,1,Low Risk,14.442500000000003
ID00221,Female,23,Computer Science,91.0,6.3,2.63,9.6,14,2.94,Excellent,Good,1,Low Risk,16.037499999999998
ID00222,Female,22,Business,73.2,1.9,3.24,4.8,9,3.01,Low,Very Good,1,Medium Risk,31.109999999999992
ID00223,Male,20,Psychology,91.8,6.5,2.4,6.8,4,2.92,Excellent,Good,1,Medium Risk,17.69
ID00224,Male,22,Computer Science,79.5,10.5,2.74,5.3,10,3.01,Good,Very Good,1,Low Risk,20.249999999999996
ID00225,Male,20,Economics,71.6,3.3,3.04,9.3,8,3.03,Low,Very Good,1,Medium Risk,27.98
ID00226,Male,19,Business,93.6,7.0,1.97,7.4,9,2.64,Excellent,Good,1,High Risk,20.642500000000005
ID00227,Female,20,Business,100.0,4.3,3.48,7.0,10,3.96,Excellent,Excellent,1,Low Risk,7.3500000000000005
ID00228,Male,19,Engineering,95.9,5.2,2.07,6.8,9,2.65,Excellent,Good,1,Medium Risk,18.7325
ID00229,Female,19,Mathematics,98.8,6.7,3.43,5.7,12,3.64,Excellent,Excellent,1,Low Risk,5.527499999999999
